"Points:0","Points:1","Points:2"
-2.7939,7.9912,-8.2195
-2.8203,7.9607,-8.2727
-2.8354,7.9573,-8.1782
-2.8082,7.9878,-8.1295
-2.7755,8.0077,-8.1978
-2.7966,8.0033,-8.0594
-2.8219,7.9845,-8.0376
-2.814,8.0005,-7.926
-2.8454,7.9701,-7.9658
-2.843,7.9808,-7.8731
-2.8116,8.0103,-7.8238
-2.8405,7.9925,-7.7631
-2.8208,8.0136,-7.694
-2.797,8.026,-7.7526
-2.7863,8.0289,-7.8109
-2.785,8.0238,-7.8965
-2.7611,8.0359,-7.9448
-2.7588,8.0467,-7.7972
-2.7368,8.0521,-7.9092
-2.7241,8.0635,-7.8237
-2.7141,8.0719,-7.7583
-2.6871,8.0787,-7.8509
-2.6822,8.0769,-7.9329
-2.7071,8.0643,-7.9608
-2.6772,8.0753,-8.0112
-2.6885,8.0672,-8.0773
-2.6377,8.0869,-8.1053
-2.6486,8.0797,-8.1836
-2.6226,8.0898,-8.1757
-2.6023,8.0942,-8.254
-2.6206,8.0864,-8.2962
-2.6581,8.0725,-8.2579
-2.6784,8.066,-8.2001
-2.6877,8.0578,-8.2693
-2.7092,8.0493,-8.2162
-2.6988,8.0591,-8.1403
-2.7255,8.0507,-8.039
-2.742,8.0369,-8.1105
-2.748,8.0365,-8.0603
-2.7834,8.019,-7.9789
-2.7696,8.0211,-8.0815
-2.756,8.0234,-8.1757
-2.7164,8.0411,-8.2805
-2.7594,8.0113,-8.2938
-2.7127,8.0379,-8.3558
-2.6962,8.0494,-8.3313
-2.668,8.0649,-8.3211
-2.6764,8.0573,-8.38
-2.6458,8.0717,-8.3945
-2.6552,8.0648,-8.4394
-2.617,8.0812,-8.4734
-2.6406,8.07,-8.4784
-2.6189,8.0776,-8.5367
-2.5845,8.0919,-8.5517
-2.5815,8.0949,-8.4895
-2.6145,8.0848,-8.409
-2.5798,8.0973,-8.4206
-2.599,8.0919,-8.3721
-2.6362,8.0787,-8.3351
-2.5825,8.0985,-8.3341
-2.5629,8.1035,-8.384
-2.5444,8.1091,-8.3571
-2.574,8.1029,-8.252
-2.595,8.0989,-8.1674
-2.568,8.1064,-8.1598
-2.5446,8.1104,-8.2498
-2.5399,8.1128,-8.152
-2.5028,8.1188,-8.1922
-2.5142,8.1165,-8.2822
-2.47,8.1232,-8.2702
-2.4554,8.1243,-8.2251
-2.44,8.1265,-8.3017
-2.408,8.1272,-8.2577
-2.4346,8.1253,-8.1983
-2.3994,8.1259,-8.2005
-2.3753,8.127,-8.2584
-2.3799,8.1284,-8.3001
-2.3888,8.1302,-8.3596
-2.3517,8.1292,-8.3427
-2.3483,8.1323,-8.4205
-2.3166,8.1294,-8.3951
-2.3237,8.1262,-8.3203
-2.341,8.125,-8.2591
-2.3656,8.1246,-8.2004
-2.3117,8.1203,-8.233
-2.3288,8.1195,-8.1685
-2.3902,8.1241,-8.1409
-2.3773,8.1217,-8.0882
-2.4031,8.1228,-8.0674
-2.4402,8.1234,-8.0666
-2.4265,8.1246,-8.1388
-2.4618,8.1231,-8.1367
-2.4714,8.1221,-8.0342
-2.4976,8.1198,-8.0935
-2.503,8.1197,-8.0012
-2.4686,8.1219,-7.9482
-2.5108,8.1194,-7.93
-2.5177,8.1196,-7.8282
-2.477,8.1214,-7.8508
-2.4247,8.1203,-7.8884
-2.4163,8.1218,-7.9904
-2.3937,8.1195,-7.9619
-2.3837,8.1158,-7.88
-2.415,8.1175,-7.7965
-2.4352,8.1197,-7.8083
-2.4457,8.1192,-7.7271
-2.4052,8.1136,-7.7033
-2.3735,8.1108,-7.7884
-2.3398,8.1002,-7.7337
-2.3729,8.1045,-7.6416
-2.3555,8.0941,-7.5392
-2.316,8.0879,-7.6603
-2.3076,8.0751,-7.5317
-2.2648,8.0695,-7.6972
-2.2507,8.0552,-7.6224
-2.2288,8.0583,-7.7648
-2.1957,8.028,-7.6767
-2.174,8.0291,-7.7955
-2.145,7.995,-7.7142
-2.162,7.9957,-7.6288
-2.2185,8.0282,-7.5557
-2.1839,7.9959,-7.5094
-2.1325,7.9607,-7.5817
-2.1316,7.9757,-7.6708
-2.1045,7.9559,-7.71
-2.1286,7.9945,-7.796
-2.1012,7.973,-7.8156
-2.0985,7.9797,-7.8652
-2.1151,8.0058,-7.9306
-2.1405,8.0133,-7.8532
-2.1529,8.0306,-7.9091
-2.1885,8.0442,-7.8409
-2.1742,8.0526,-7.9757
-2.1224,8.0273,-8.0299
-2.0966,8.0062,-8.0215
-2.09,7.9923,-7.9755
