"Points:0","Points:1","Points:2"
45508,63341,23164
45300,63615,23293
45562,63086,23412
45438,63076,23735
45373,63329,23540
45175,63586,23668
45783,62788,23281
45841,62494,23538
45641,62811,23600
45831,63090,22682
45917,62804,22914
45704,63083,23042
45590,63773,22107
45794,63519,21987
45669,63529,22359
45871,63259,22266
46011,62982,22376
45550,63564,22655
45609,63348,22870
45703,63373,22550
46280,61982,23218
46330,61733,23409
46134,61969,23536
46218,62237,23025
46431,61997,22876
46142,62513,22807
45989,62526,23148
46087,62222,23331
46271,62529,22466
46037,62809,22600
46149,63225,21517
46242,62966,21764
46029,63228,21864
46289,62766,22008
46106,62987,22105
46278,63429,20717
46169,63442,20993
46107,63640,20759
46378,63192,20916
46263,63206,21220
45922,63765,21029
46049,63469,21294
45831,63716,21433
45703,63749,21785
45920,63495,21639
46501,61121,23707
46573,61233,23465
46715,60953,23472
46386,61427,23626
46721,61215,23197
46530,61478,23293
46577,61996,22539
46654,61710,22755
46493,61725,23083
46693,61461,22978
46565,62349,22004
46700,62052,22143
46464,62308,22337
46371,62558,22159
46351,62274,22668
46549,62807,21192
46535,62706,21432
46363,62956,21436
46408,62761,21688
46648,63140,20299
46783,62822,20527
46498,63173,20624
46752,62665,20899
46573,62939,20868
46420,63029,21125
46580,63416,20006
46410,63423,20385
46832,60363,23785
46994,60441,23437
47068,60127,23584
46793,60667,23594
46660,60621,23866
46904,60712,23352
47084,60877,22841
47110,60608,23072
46897,60931,23148
46824,61705,22366
47031,61361,22363
46857,61421,22674
47072,61120,22585
46889,61170,22906
46798,62118,21772
46938,61813,21915
47022,61552,22111
46634,62445,21644
46858,62244,21386
46459,62574,21892
47000,62441,20650
46924,62351,21012
46716,62520,21271
46836,63089,19940
46862,62895,20199
47068,62587,20226
46851,63449,19437
47011,63102,19569
46775,63328,19728
47321,59571,23634
47112,59807,23773
47282,59865,23457
47254,60217,23192
47480,59884,23115
47289,60609,22738
47492,60347,22638
47324,60385,22907
47259,60878,22493
47349,61337,21661
47367,61093,21982
47175,61344,22058
47224,61099,22289
47252,61861,21022
47377,61607,21144
47184,61778,21338
47292,61562,21432
47155,61661,21610
47122,61558,21858
47067,62040,21188
47000,61934,21552
47318,62426,19915
47429,62134,20129
47262,62346,20168
47584,61814,20292
47512,61731,20602
47372,61990,20505
47174,62112,20787
47048,62810,19910
47427,63101,18879
47281,62973,19252
47100,63305,19180
47188,63487,18861
47763,59013,23389
47756,58767,23605
47605,58986,23660
47660,59638,23030
47709,59348,23197
47490,59581,23358
47395,59090,23894
47296,59348,23842
47527,59263,23558
47632,59879,22856
47862,59651,22667
47730,60685,21740
47798,60374,22001
47609,60630,22074
47863,60099,22194
47703,60030,22576
47653,60344,22330
47447,60610,22431
47488,60118,22880
47723,60906,21436
47531,61013,21724
47530,60863,21937
47410,60871,22189
47491,61344,21302
47566,61137,21452
47674,61592,20441
47448,61661,20874
47584,61394,20989
47671,62521,19111
47821,62181,19253
47536,62387,19526
72724,88094,59370
72560,88232,59387
72522,88053,59495
47744,62023,19609
47542,62164,19827
47691,61883,19931
47505,62807,19068
47446,62686,19309
47284,62698,19588
47634,63687,18082
47895,63668,17776
47871,63424,17979
46993,63818,18832
47234,63733,18571
47780,63277,18212
47473,63449,18491
48079,58612,23225
48152,58364,23326
47949,58505,23527
47922,59155,23011
48012,58844,23133
47909,58745,23382
47835,59408,22935
48065,59304,22638
47989,60338,21641
48163,59982,21732
47973,60130,21937
48330,59668,21774
48245,59542,22075
48087,59850,22037
47924,59827,22375
48094,59568,22327
48208,60136,21440
47933,60600,21404
48088,61572,19543
48156,61333,19746
47915,61595,19874
47775,61621,20153
48213,61776,19037
48189,61611,19289
47994,61842,19360
39037,84560,38341
39195,84840,38164
39126,84458,38025
48145,62063,18822
48019,62026,19080
48152,62593,18286
48101,62368,18574
47921,62690,18528
47934,62277,18938
47852,62526,18801
38854,83257,37829
38959,83632,37831
39006,83382,37518
47980,62930,18228
48069,63759,17515
48187,63461,17575
48033,63169,17966
48522,57684,23379
48560,57369,23657
48315,57692,23713
48488,57931,23187
48705,57685,23065
48458,58213,22970
48296,58178,23266
48135,58176,23527
48312,57924,23483
48106,57974,23764
48357,58775,22629
48426,58459,22799
48210,58680,22954
48269,58418,23090
48136,58988,22804
48450,59361,21887
48537,59116,21987
48327,59263,22215
48283,59045,22504
48503,58898,22267
48404,59822,21444
48524,59515,21575
48620,59812,21007
48633,59567,21295
48350,60130,21145
48286,60778,20309
48389,60445,20590
48154,60698,20737
48049,60624,21098
48128,60384,21271
48270,60400,20928
48083,61087,20287
48004,61011,20594
48431,60820,19925
48375,61073,19672
48589,60822,19596
47838,61349,20444
48001,61330,20092
48587,61591,18626
48569,61400,18873
48410,61619,18885
48326,61345,19386
48551,61055,19346
48572,62049,18196
48720,61717,18292
48516,61865,18454
48337,62080,18506
48367,61840,18708
48320,62310,18309
48461,62684,17798
48463,62916,17623
48660,62562,17646
48232,62835,17970
48221,63171,17733
48646,63367,17127
48800,63097,17122
48584,63153,17325
48749,62823,17354
48950,56943,23468
49002,56672,23728
48744,56986,23799
48789,57170,23485
48919,57183,23234
49085,57403,22702
48912,57423,22981
48879,57677,22778
48725,57430,23300
48653,58201,22658
48661,57937,22894
48864,57948,22540
48590,58528,22464
49002,58380,21899
48756,58596,22116
48904,58658,21795
48889,59112,21335
48685,59175,21651
48708,59365,21389
48895,58878,21583
48721,58884,21895
49078,59333,20689
48853,59385,21078
48834,59659,20757
48493,60148,20804
48542,60463,20222
48463,60662,20094
48682,60122,20426
98230,80264,57459
97936,80543,57481
97861,80156,57527
48833,60539,19496
48914,60259,19724
48650,60533,19886
49055,61189,18304
48801,61256,18642
48828,61453,18389
48524,61257,19130
48739,61065,18976
48726,62193,17858
48827,61860,18009
49211,62222,17238
49175,61880,17532
48951,62208,17559
48949,61974,17747
49173,62575,17042
48936,62536,17337
49012,63034,16932
48964,62820,17113
49050,63254,16769
48874,63287,16931
49265,63026,16677
49273,56951,22869
49321,56693,23094
49104,56957,23167
49136,56754,23361
49248,56557,23408
49373,57452,22163
49440,57147,22362
49255,57358,22456
49416,56960,22609
49244,57166,22678
49086,57189,22931
49089,57657,22438
49102,58085,22008
48837,58248,22304
49387,58227,21389
49237,58180,21691
49139,58498,21540
39022,84813,38595
38949,84974,38924
39106,85222,38745
49373,58529,21092
49117,58819,21236
49307,59269,20308
49295,59014,20669
49077,59102,20986
49044,59612,20378
49271,60015,19332
49105,60079,19581
49051,60295,19390
49264,59808,19636
49221,59617,19997
49041,59965,19877
48812,60188,20043
48936,59899,20198
49246,60655,18564
49359,60409,18654
49133,60609,18820
49247,61324,17893
49310,61044,18057
49276,60850,18301
49035,60884,18666
49069,61696,17818
48963,61523,18119
49171,62817,16893
49405,62364,16927
49377,62686,16759
49567,62423,16721
49460,63160,16418
49215,63408,16526
49058,63637,16561
49243,63679,16368
49470,56119,23603
49664,55977,23417
49593,55841,23789
49331,56109,23912
49270,56366,23636
49622,56807,22423
49681,56529,22646
49459,56760,22765
49507,56301,23261
49536,56526,22912
49574,57233,22049
49689,56996,22099
49777,57188,21753
49739,57886,21135
49737,57697,21326
49567,57957,21356
49387,57690,21910
49547,57478,21852
49324,57908,21807
49550,57725,21610
49625,58177,21030
49424,57984,21569
49615,58449,20750
49546,58725,20554
49425,58697,20809
49513,58974,20300
49704,59531,19140
49675,59346,19457
49472,59698,19370
49492,59286,19911
49493,59127,20133
49429,59545,19671
98555,80397,57346
98501,80014,57416
49261,60253,19034
49519,59884,19025
49632,60205,18415
49663,59931,18687
49491,60124,18763
49726,60815,17666
49770,60534,17857
49519,60757,18016
49687,60383,18132
49449,60542,18348
49486,61085,17768
49682,61347,17304
49697,61086,17482
49480,61333,17569
49449,61597,17407
49426,61897,17218
49659,61637,17126
49442,62125,17044
49614,62210,16803
49752,62325,16591
49869,62444,16407
49662,62607,16519
49917,62693,16228
49493,62869,16540
49433,63488,16285
50004,55478,23499
50032,55270,23817
49809,55539,23834
49793,56024,23092
49920,55724,23277
49795,55713,23561
50047,56326,22211
50093,56079,22433
49891,56306,22531
50170,55816,22636
50062,55763,22927
49953,56036,22764
49718,56290,22877
49840,56554,22325
49990,56559,22042
49819,56744,22145
50179,56716,21523
49937,56836,21831
50023,57019,21493
49892,57676,21076
49756,57456,21529
49907,57268,21451
50002,58192,20324
50047,57906,20558
49837,58184,20641
50189,58173,19984
49930,58486,20108
49716,58739,20209
49774,58453,20453
49740,59062,19724
49853,58764,19903
49633,58995,20035
50104,59378,18580
50107,59161,18856
49901,59448,18868
49880,59088,19404
50016,58789,19539
49896,59250,19148
50095,59640,18274
49865,59693,18615
39175,85101,38451
49857,59903,18376
49831,60121,18177
49959,60857,17320
49984,60503,17578
49887,61370,17040
49841,61167,17237
49932,61642,16811
50089,61850,16520
49842,62000,16690
50028,62164,16404
52706,74923,7917.7
52523,74837,7971.2
52519,74929,8102.3
50365,63252,15564
50222,63046,15779
50085,63333,15775
50475,55296,22779
50642,54985,22938
50411,55141,23182
50240,55204,23458
50184,55462,23134
50431,54987,23432
50092,55084,24050
50278,54994,23785
50417,55578,22475
50255,55584,22796
50373,56331,21590
50380,56119,21828
50192,56319,21944
50482,55886,21925
50343,55832,22270
50264,56072,22112
50278,56922,21138
50421,56575,21238
50150,56531,21777
50406,57096,20741
50547,56704,20885
50217,57412,20762
50202,57212,20986
50050,57454,21018
50486,57798,19865
50435,57569,20208
50248,57876,20220
50414,58179,19544
50510,58739,18663
50627,58440,18830
50394,58623,19021
50667,58022,19276
50520,58330,19161
50104,58513,19724
50258,58568,19349
50120,58893,19190
50297,58894,18851
50328,59486,18066
50191,59753,17994
50377,59673,17793
50615,60326,16919
50473,60112,17263
50246,60500,17234
50418,59864,17551
50188,60208,17558
50216,60839,17015
50378,61241,16573
50657,60935,16463
50421,60904,16736
50687,61259,16246
50422,61476,16392
50547,62111,15936
50451,61907,16131
50256,62217,16156
98004,80409,53071
98225,80642,53369
98295,80247,53197
50614,54859,23248
50835,54520,23447
50538,54780,23606
50854,54350,23837
50659,54571,23785
50829,54712,23029
50896,55073,22245
50765,55038,22576
50670,55295,22372
50715,55645,21785
50817,55337,22011
50561,55594,22162
50789,56019,21183
50595,56000,21564
50576,56256,21303
50754,56594,20642
50684,56379,20978
50800,57271,19886
50808,57043,20104
50620,57297,20167
50636,57858,19527
50781,57545,19627
50624,57497,19951
50987,58312,18360
50873,58237,18646
50774,58500,18499
50792,58906,17993
50642,58835,18318
50526,59171,18112
50285,59347,18301
50348,59093,18505
98536,80366,53458
98581,80005,53303
50938,58971,17694
51079,58638,17830
50714,59134,17859
50797,59270,17592
50569,59383,17808
39283,85440,38494
50826,59490,17344
51023,59143,17394
51028,59396,17156
50906,59710,17051
50655,59781,17312
50600,59592,17556
50717,59976,17069
50904,60018,16811
50899,60328,16595
50669,60612,16656
98364,79906,53077
50924,62207,15550
51017,61956,15582
50790,62013,15762
50564,62628,15670
50724,62854,15430
50819,62531,15494
50988,62732,15257
50908,63038,15191
51312,54182,23083
51333,54041,23435
51122,54275,23332
51260,53990,23791
51069,54211,23648
51242,54349,22838
51069,54419,23098
51022,54788,22445
50854,54828,22746
71104,89651,58808
70976,89630,58915
70984,89624,58918
51274,55143,21393
51187,55058,21681
50995,55344,21649
50877,55721,21379
51092,55756,20950
51143,55438,21242
51188,56218,20299
51146,55998,20595
50939,56310,20616
50927,56080,20875
51208,56741,19740
51209,56463,20016
50988,56768,20077
50796,56803,20363
50985,56508,20341
51219,56996,19465
50996,57016,19816
50979,57275,19578
51044,57569,19141
51135,57306,19277
50952,57482,19402
50997,57960,18764
51138,57703,18820
50919,57860,19025
50841,57734,19310
51063,58085,18499
50765,58138,18959
51137,58338,18076
50894,58598,18179
51189,58084,18283
51182,59445,16917
51298,59805,16506
51144,59733,16739
51116,60031,16556
51115,60346,16345
51327,60037,16317
51177,60595,16125
50954,60927,16161
51197,60943,15910
51011,61222,15946
51381,61362,15525
51240,61205,15734
51082,61475,15751
51463,60999,15623
50674,61836,15958
50945,61752,15745
51252,62584,15092
51093,62395,15316
51184,62899,15011
51069,63272,14945
51604,54196,22335
51737,53994,22526
51496,54127,22763
51551,53957,23104
51754,53865,22850
39146,83587,37290
39260,83912,37231
39275,83630,36970
51582,53842,23379
51512,53799,23717
51301,54462,22451
51472,54450,22101
51041,54599,22762
51418,55189,21068
51503,54929,21269
51366,54893,21581
51224,54880,21879
39445,83232,36197
39447,83466,36376
39597,83627,36096
51263,54688,22109
51077,54895,22152
51575,55210,20771
51334,55462,20876
51293,55737,20633
51418,55873,20283
51579,56407,19474
51410,56425,19727
51429,56670,19452
51535,57132,18781
51347,57105,19132
51271,57380,18960
51490,57650,18270
51368,57513,18638
51227,57828,18517
51754,58150,17307
51895,57824,17424
51627,57961,17697
51605,58530,17150
51536,58294,17488
51344,58566,17497
51370,58061,18002
51502,57845,18028
51241,59150,17089
51530,58938,16889
51300,58867,17265
51124,58843,17545
51385,59236,16830
51654,59422,16367
51588,59204,16604
51384,59527,16607
51486,59755,16329
51564,59992,16091
51394,60300,16078
51620,60236,15884
51484,60593,15816
51738,60685,15519
51632,61437,15261
51593,61179,15414
51204,62052,15372
51495,61982,15146
51442,61706,15313
51778,61979,14896
51571,62241,14963
51652,62816,14620
51610,62517,14803
51418,62747,14870
51375,63054,14764
51307,63336,14686
51573,63228,14476
51132,63587,14727
52018,53496,23397
52142,53323,23736
51843,53517,23817
51949,53795,22567
52166,53618,22566
52064,53600,22889
51778,53740,23187
51755,53668,23501
51973,54095,21781
52124,53855,22005
51888,53992,22189
52157,53718,22289
51927,54373,21341
51625,54646,21469
51792,54713,21054
51725,54220,22030
51679,54402,21775
51425,54656,21837
51979,55098,20239
51932,54943,20502
51770,55187,20479
39126,83347,37163
52001,54692,20706
51773,54945,20768
51611,54984,20997
51889,55642,19775
51951,55336,20009
51711,55610,20096
51812,55952,19571
51633,55918,19890
51678,56559,19161
51933,56240,19076
51757,56216,19387
51587,56195,19677
51412,56178,19976
98187,79936,57493
51555,56871,19033
51760,56773,18796
51962,56474,18784
51802,57010,18464
51625,57322,18415
51848,57636,17697
51681,57634,17971
51861,57390,17947
52124,58485,16484
52057,58285,16743
51845,58609,16752
51751,58937,16606
51831,59114,16377
52069,59008,16166
51917,59322,16135
52022,59522,15893
51974,59772,15795
52221,59540,15666
51768,59681,16070
51764,59960,15901
51916,60136,15646
51739,60952,15386
51995,60733,15254
98165,79622,57510
97910,79793,57540
51828,61465,15074
51692,61684,15100
51931,61655,14899
52019,62280,14541
51971,62068,14682
51796,62273,14748
51898,62727,14432
52084,62817,14199
52071,62537,14364
51844,62517,14589
51833,62987,14352
39117,83797,37530
51605,63551,14245
51822,63602,13954
51823,63298,14174
52344,53337,23098
52312,53270,23475
52428,53115,23835
52450,53811,21377
52545,53621,21643
52285,53827,21713
39402,82688,35887
39436,82968,36014
39539,82937,35705
52367,53643,22008
52635,53465,21877
52607,53397,22166
69095,90848,57955
68887,90956,57873
68909,90883,58085
52356,53436,22686
98102,80089,52972
98152,79757,52851
52321,54212,20840
52384,54006,21097
52186,54205,21125
39307,82927,36338
39319,82735,36155
39171,82569,36443
52183,54058,21415
52412,54742,19905
52456,54490,20154
52182,54777,20271
52520,54202,20462
52252,54487,20539
52095,54428,20925
52298,55476,19272
52427,55217,19332
52180,55336,19624
52392,55003,19633
52187,55050,19936
52073,55716,19396
52058,57326,17692
52276,57011,17672
52043,57116,17947
52382,57519,16969
52265,57334,17344
52134,57642,17238
52348,57816,16742
52197,57787,16996
52137,58023,16865
51888,58271,16993
52012,57940,17128
52366,58316,16294
52273,58138,16567
52227,58652,16221
52497,58555,15952
52313,58921,15933
52620,58805,15649
52395,59171,15688
52146,59921,15533
52388,59740,15383
52151,59239,15922
38939,82875,37321
39006,83121,37322
39068,82979,37044
52111,60196,15421
52303,60055,15304
52242,60702,15038
52459,60464,14948
52207,60378,15231
51932,60429,15469
52140,61015,14989
52056,61357,14916
52293,61232,14752
39220,83265,36842
52497,62475,13970
52453,62231,14149
52276,62495,14185
52220,62271,14356
52332,62736,13988
52251,63013,13896
52038,63293,13938
52232,63318,13683
52966,52918,23192
52874,52871,23716
52621,53096,23359
52789,53409,21646
52873,53265,21912
52797,53224,22282
52587,53328,22463
52363,53522,22377
52787,53150,22618
52567,53258,22791
52712,53122,22963
39682,84032,36193
39535,84102,36645
39695,84359,36431
52712,53576,21352
52638,53750,21091
52901,53504,21066
52775,54130,20074
52779,53893,20472
67945,91404,57496
67862,91384,57722
67979,91333,57762
98432,79773,57451
98204,79305,57508
97888,79460,57549
81675,77580,49453
81477,77739,49302
81821,77725,49273
52583,53948,20789
52638,54499,19806
52589,54940,19359
52813,54583,19383
52577,54741,19613
52508,55394,19000
52602,55134,19120
98383,79624,52969
98598,79662,53161
98562,79303,52995
52689,56933,17072
52754,56733,17176
52535,56938,17319
52532,57208,17042
52804,57284,16548
52607,57326,16809
52553,57589,16645
52898,58256,15657
52992,57920,15770
52682,58139,16013
52519,57926,16400
52854,57762,16073
53079,58068,15554
52707,58459,15759
52828,58905,15357
52873,58570,15491
52633,59117,15457
52507,59408,15435
52815,59237,15200
52641,59619,15190
52908,59577,14939
52519,59913,15164
52429,60176,15120
52676,60163,14886
52751,60845,14495
52709,60518,14685
52435,60851,14789
52564,61171,14526
52822,61154,14293
52887,61754,13961
52724,61661,14163
52662,61940,14090
52892,61444,14101
52650,61431,14333
52519,61712,14333
52876,62107,13792
52647,62247,13946
52383,61995,14332
52544,62764,13738
52728,62452,13743
52812,63191,13028
52847,62917,13256
52626,63149,13325
52667,62917,13479
52591,63733,12610
52687,63491,12827
52434,63702,12942
98251,79409,52785
52541,63417,13156
52401,63349,13431
53206,53046,21782
53220,52942,22221
53034,53096,22111
53003,53048,22419
53215,52884,22547
53008,52973,22771
53209,52651,23892
53221,52718,23471
53059,53463,20762
53220,53227,21027
52948,53363,21358
98501,79475,57445
98240,78899,57494
97866,79041,57545
53008,53232,21641
53413,53657,19561
53300,53574,19948
53129,53879,19770
53017,53772,20187
53213,53470,20361
52980,53653,20508
52830,53687,20779
68155,91370,57319
67970,91451,57233
53218,53993,19419
52952,54237,19576
52802,54863,19072
53038,54603,18951
53108,54285,19221
53068,55183,18265
53098,54949,18459
52890,55201,18552
52743,55159,18847
52949,54915,18753
52123,55949,19066
52319,55937,18752
52307,55701,19020
52870,55637,18133
53070,55394,18044
52931,55397,18277
53188,55602,17622
53031,55628,17869
53043,55868,17595
52791,56152,17723
52829,55869,17960
52821,56506,17302
52968,56238,17336
52721,56439,17539
52741,57085,16836
52859,56814,16921
52976,56517,17036
53229,56994,16165
53174,56805,16424
53035,57077,16390
52938,56954,16655
53522,57059,15671
53272,57231,15904
53421,57420,15546
53129,57592,15827
52739,57582,16380
52993,57384,16185
53248,58058,15347
53217,57802,15556
53072,58306,15411
53069,58634,15230
53274,58331,15153
53050,58964,15082
53036,59249,14961
53256,59051,14815
53192,59448,14706
52970,59883,14732
52741,59823,14989
52898,60264,14624
53210,60150,14374
53281,60506,14143
53040,60867,14213
53294,60924,13945
53157,61824,13662
53307,61531,13658
53100,61495,13878
53261,62092,13402
53076,62091,13598
52990,62341,13534
53036,62595,13298
53179,62371,13304
53228,62559,13102
52800,62678,13509
52981,63258,12695
53039,62987,12939
53240,63564,11763
53466,63379,11728
53308,63374,11991
53202,63195,12447
53026,63394,12423
38945,81381,36126
39067,81370,35764
38911,81094,35982
53168,63382,12209
53389,63147,12227
53478,53095,20697
53577,52921,21053
37816,82555,49816
37676,82459,49572
37814,82240,49830
53418,52967,21409
53569,52795,21705
53648,52647,22285
53398,52801,22348
53465,52806,22051
53489,52701,22607
53313,52750,22965
53561,52555,23288
53678,53407,19449
53802,53180,19639
53553,53364,19809
53718,53122,19973
53645,53048,20376
53455,53313,20146
68145,91316,57582
53404,53245,20449
53271,53296,20658
53455,53832,19195
53690,53669,18980
53603,53598,19270
53320,54070,19110
53459,54690,18098
53449,54476,18355
53269,54710,18415
53473,54235,18602
53295,54285,18871
53274,54515,18627
53398,55165,17704
53594,54948,17582
53435,54920,17896
53231,55177,17988
53251,54951,18189
53213,55397,17790
53345,55420,17534
53198,55952,17239
53285,55655,17395
53415,56649,16182
53509,56232,16422
53287,56535,16499
53243,56312,16794
53135,56222,17071
53296,56033,16987
53419,56919,15939
53074,56646,16743
53653,57448,15207
53624,57185,15428
53469,58027,15086
53666,58053,14822
53640,57772,15018
53451,57757,15275
53860,58057,14579
53678,58282,14689
53491,58338,14885
53673,58893,14423
53843,58470,14406
53575,58598,14662
53306,58699,14924
53450,58884,14676
68270,91200,57859
68310,91237,57652
68125,91267,57810
53637,59216,14330
53449,59176,14549
53471,59483,14398
53494,59865,14212
53266,59758,14492
53427,60203,14134
53511,60660,13848
53513,60386,13967
53337,61223,13772
53582,61341,13472
53527,60984,13690
53703,61687,13170
53420,61720,13448
53503,61942,13234
53430,62266,13096
53432,62790,12622
53446,62535,12856
53252,62772,12880
53371,62999,12458
53594,62836,12342
53219,63003,12672
53603,63542,11234
53665,63343,11481
53433,63544,11487
53128,63930,11252
53359,63744,11239
53175,63749,11515
39524,84583,37081
39360,84480,37424
39486,84879,37440
67546,91548,57385
67492,91522,57592
67590,91486,57627
53909,52667,21034
53984,52548,21422
53724,52741,21377
53814,52633,21638
54036,52456,21824
53754,52625,21952
53933,52475,22182
54252,52281,22116
54158,52297,22532
67789,91498,57280
67631,91574,57122
53784,52524,22560
53918,52409,22828
53656,52560,22870
54113,52231,23379
53855,52405,23153
54159,52254,22940
53504,52528,23673
54011,53017,19525
54152,52834,19661
53943,52970,19813
54097,52790,19936
54103,52695,20247
53904,52904,20105
54008,52683,20606
53876,52846,20381
53722,52889,20699
53918,53457,18855
54013,53253,19018
53806,53426,19145
53909,53209,19332
54122,53046,19199
53530,53966,18852
53809,53723,18653
54142,53933,17703
53851,54072,18088
53856,54341,17764
53692,54003,18488
53618,54248,18314
53641,54405,18087
53626,54675,17815
53846,54675,17417
53725,55011,17283
54040,54868,16866
53841,55081,17003
53924,55146,16788
53657,55251,17155
53906,55362,16601
53762,55333,16884
53693,55614,16721
53870,55844,16187
