Points_0,Points_1,Points_2
45407.3,63609.8,22996.3
45507.6,63341.5,23164
45299.6,63614.6,23293
45211.7,63880.2,23090.6
45360.7,63812.4,22765.5
45152.1,64103.4,22850.9
45263,64070,22557.1
45058,64355.9,22627.5
44945.7,64371.9,22980.8
44879.9,64599.4,22712.6
44798.2,64612.3,22993
44657,64889.3,22910.7
44792.9,64809.9,22530.5
44614.5,65106.6,22517.1
44805.8,64891.9,22234.4
44972,64609.9,22323.1
44955.9,64752.7,21986.9
45115.1,64501.1,22051.7
45170.8,64320.9,22304.6
45295.6,64271.8,21969.8
45164.6,64550.7,21727.9
45410.8,64241.6,21625.5
45328.9,64444.3,21404.2
45170.4,64709.6,21291
44933,64909.3,21640.5
44823.3,64966.4,21935.4
44722.7,65175,21775.2
44668.9,65142.3,22124
44557,65391.8,21920.8
44619.6,65410.3,21583
44451.9,65649.2,21697.7
44528.8,65638.8,21394
44704.5,65400.2,21275.5
44811,65156.7,21459.8
44898.5,65149.4,21168.2
44959.5,64993.7,21323.2
45042.4,64965.7,21114.4
45036.1,65106.2,20844.5
44826.2,65360.2,20958.8
44931,65387.6,20627.4
44749.2,65585,20769.9
44777.2,65719.6,20494.5
44550.5,65901.8,20805.6
44632.3,65623.1,21053.1
44421.5,65918.9,21187.6
44325.2,65939.4,21527.9
44231.3,66211.4,21306.6
44356.7,66194.2,20914.5
44198.8,66457.6,20992.8
44327.9,66449.5,20646.1
44159.1,66729.2,20748.8
44312.5,66728.3,20383.3
44484.2,66362.2,20376.8
44460.5,66182.5,20645.5
44648.2,66008.2,20412
44689.9,66241.3,20071.9
44523.2,66569.4,20092.7
44726,66484.9,19793.5
44578.9,66755.5,19834.2
44752.8,66783.9,19523.4
44552,66975.1,19719
44643.6,67183.6,19428.9
44431.6,67267.1,19729.6
44403.1,66942.6,20014.1
44223,67380.3,20034.2
44173.3,67122.2,20330.7
44013.2,67463.4,20388.5
44075.7,67718.6,20084.7
44297.8,67609.6,19748.3
44180.4,68000,19732.9
44358,67814.3,19528.5
44480.4,67533.6,19482.5
44528,67827.7,19245.5
44333.8,68070.1,19437
44470.3,68149.6,19178.5
44323.7,68332.9,19331.4
44179.7,68327.7,19571.8
44231.4,68645.2,19350.3
44400.6,68495.2,19137.7
44362.1,68818.4,19067.8
44514.8,68613.2,18907.1
44580.3,68319.9,18930.3
44687.5,68533.9,18675.5
44555.6,68813.1,18761
44737.9,68823.2,18475.7
44606.7,69109.2,18559.3
44447.4,69104.1,18818.7
44502.6,69387.1,18619.8
44686.6,69413.9,18310.8
44512,69653.5,18507.6
44621.1,69749,18293.2
44784.8,69668.2,18056.3
44896.1,69339.9,18014.2
44796.9,69066,18281.9
44983.1,68957.3,18055.3
44889.1,68823.4,18252.6
44900.1,68571,18352
45055.9,68678.1,18085.6
45097.7,68365.1,18182.2
44910,68259.5,18483.4
44744.7,68203.4,18738.6
44895.3,67903.4,18672.2
44680.4,67954.8,18948.8
44805.6,67678.5,18908.5
44679.6,67734.1,19060.7
44695.3,67492.2,19166.9
44937.7,67369,18895.8
44817.7,67195.7,19160.4
44826.1,66974.5,19285.5
44989.8,67000.8,19040.6
44974.7,66702.8,19251.9
44935.3,66441.3,19496.6
45156.2,66385,19221.2
45220,66687.5,18933.2
45411.7,66297.5,18941.9
45543.4,66501.3,18645.6
45373.3,66829.3,18656.7
45557,66800.2,18453.1
45363.5,67085.9,18519.9
45588.9,67086.6,18253.3
45781.8,66818.1,18184
45783.6,66528.5,18346.9
45991,66547.9,18106.1
45990.4,66894.3,17912.3
46231.3,66548.5,17849
46195.6,66258.1,18054
45977.9,66296,18265.2
46079.2,66011.4,18324.2
45800.5,66187.4,18531.2
45958.3,65799.9,18594.1
45729,65976.7,18753.4
45743.2,65708.6,18922.4
45546.5,66010.8,18964.7
45605.9,66202.5,18757.7
45355.9,66052.9,19190.5
45521.9,65760.1,19184.6
45322.9,65794,19442.9
45139.2,66089.6,19470.1
45139.3,65811.3,19710
44904.7,66142.5,19788.1
44902.4,65840.7,20086.9
45173.8,65517.2,19950
45351.7,65532,19635.1
45396.1,65275,19825.3
45242.6,65256,20131.6
45011.5,65487,20297.2
45142.9,65177.7,20461.7
45331.6,65017.9,20280.6
45282.7,64904.5,20577.3
45223.1,64799.6,20922.3
45412,64664.4,20665.8
45441.5,64451.7,21006.2
45656,64368.1,20563.7
45703.9,64132,20894.2
45532.5,64211.6,21264.1
45719.5,63961.7,21229.1
45626.8,63961.7,21545.4
45501.9,64001.5,21890.3
45703,63749.4,21785
45589.9,63773.1,22107.5
45374.5,64047.8,22225.8
45479.5,63786.9,22440.1
45669,63528.7,22358.8
45550.4,63564.5,22655
45703.4,63373.2,22549.9
45608.8,63348.5,22870.2
45831.3,63090,22682.4
45704.5,63083,23041.9
45561.6,63086.3,23412.2
45783.1,62787.7,23281.3
45641.1,62810.7,23599.7
45438,63076.3,23735.1
45505.9,62815.2,23912
45334.3,63020.2,24049.7
45245.1,63310.2,23883.3
45127.9,63271.7,24202.5
45196.2,63024.2,24347.8
44973.8,63226.2,24589
44941.1,63490.5,24353.2
44787.1,63577.5,24601.6
44816.7,63806.4,24249.9
44640.2,63863.2,24611.6
44564.3,64146.9,24449.5
44422.1,64091.9,24862.2
44564,63740.2,24928.5
44360.1,63904.7,25205.2
44222.1,64217.8,25173.7
44231.5,64438.3,24910.7
44374,64403.7,24607.5
44233.1,64634.4,24673.8
44312.9,64683,24404.3
44495.7,64435.7,24246.6
44699.8,64202.5,24012.1
44563.8,64482.7,23986.1
44645.6,64458.2,23780.6
44527.7,64696.5,23756.9
44421.7,64701.8,24072.2
44345.7,65006.1,23819.6
44243.9,64953.4,24215.2
44156.9,65197,24103
44148.1,65359.3,23858.9
44287.2,65291.5,23490.6
44088,65619,23575.4
44225.7,65508.4,23259
44101.8,65738.1,23246.2
44215.5,65648.5,22946.3
44014.5,65954.6,23090.7
44072.8,65970.4,22748.6
43900.3,66222,22928.1
43932.6,66277.1,22588.7
43796.4,66455.3,22825.9
43766.2,66604.9,22562.9
43643.5,66744.6,22885.3
43615,66928.6,22550.3
43744.2,66747.9,22291.9
43605.1,67089.7,22196.2
43760,66836.6,21989.2
43852.9,66617.3,22052.2
43924.5,66404.5,22249.1
43986.5,66427.6,21873.9
44108.5,66133.3,22050
44153.2,66188.6,21685.5
44028.3,66486,21553.6
43872.3,66697.7,21769.6
43938,66757.8,21387.4
44073.2,66544.6,21268.8
44015.8,66800.3,21062.1
43877.7,66964.1,21269.8
43793.3,66986.4,21540.8
43750.6,67222.4,21326.1
43637.2,67284.2,21650
43603.6,67511.7,21435
43719.6,67489.9,21085.1
43576.2,67743.1,21240.9
43486,67787.5,21496.7
43488.5,67983.3,21261.7
43618.8,67837.2,21013.9
43530.4,68135.9,20989.6
43361.7,68353.3,21306.8
43451.2,68491.1,20931.5
43611.6,68305.4,20655.9
43710.9,67941.6,20685.2
43775.3,68168.7,20383.6
43679.4,68535.5,20366.8
43519.8,68678,20639.7
43595.1,68871.1,20370.9
43744.3,68734.5,20137.8
43827.4,68402.4,20147.3
43901.6,68572.1,19930.9
44002.3,68318.3,19877.9
43961,68073,20080.9
43887.7,67853.7,20358.2
44046.6,68610.4,19667.6
43886.4,68864.8,19826.8
44058.3,68941.5,19512.6
44211.1,68941.1,19266.2
44128.2,69161.8,19316.7
44270.7,69150.8,19089.1
44329,69390.1,18905.8
44139.3,69478.9,19185
44260.4,69698.2,18914.4
44102.1,69854,19126.5
