Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
0.785044,-0.339473,-0.518135,0.0611134,2.43254,41.8815
0.701372,-0.326391,-0.633677,-0.463487,2.81035,40.9639
0.80022,-0.374988,-0.468009,0.282101,3.49931,41.4381
0.675802,-0.736696,-0.023892,-1.80864,4.23065,46.6735
0.564088,-0.806033,0.17921,-1.47864,4.37702,45.5374
0.623263,-0.769153,0.141236,-0.998145,4.87816,46.2728
0.7482,-0.642409,-0.165852,-1.97315,3.90052,47.4692
0.768024,-0.611879,-0.189059,-2.10775,3.41916,48.4803
0.761804,-0.613409,-0.208288,-2.76976,2.89271,47.5524
0.955162,0.271978,0.117021,2.06873,6.18713,44.2278
0.955162,0.271978,0.117021,2.23058,6.05716,43.2088
0.955162,0.271978,0.117021,1.82412,7.22611,43.8096
-0.584284,0.811461,0.0119512,-1.04751,7.42843,47.3781
-0.520563,0.842553,-0.138265,-1.52385,6.9813,46.3989
-0.626143,0.762415,0.163305,-1.86651,6.79659,47.5309
-0.37943,0.786167,-0.487826,2.01046,8.41031,45.0669
-0.372457,0.770025,-0.518012,1.14144,7.7811,44.7288
-0.458909,0.796348,-0.393995,1.16453,8.41015,45.7246
-0.618926,0.360885,0.697634,-4.58467,3.95992,47.2015
-0.622983,0.644388,0.44346,-4.98338,4.50448,46.2854
-0.610882,0.417512,0.672686,-5.51483,3.54538,46.6235
-0.650339,0.674307,-0.349813,-18.0359,18.0993,46.6362
-0.705078,0.588557,-0.395557,-17.8763,17.6667,45.738
-0.634896,0.641195,-0.431018,-18.7202,17.2943,46.4395
0.701296,-0.71278,-0.0113297,-7.01712,-0.456495,42.3839
0.71814,-0.681524,-0.140713,-6.74273,-0.432087,43.2764
0.636577,-0.771099,-0.0132347,-7.54293,-1.18584,42.6953
0.481157,-0.809279,0.336981,-2.70533,3.2295,44.2025
0.610904,-0.785377,0.0998973,-3.45147,2.82986,44.6009
0.438451,-0.78307,0.441091,-3.31324,2.54034,43.5455
-0.292297,0.740479,-0.605188,0.751277,7.03854,43.9937
-0.522096,0.828949,-0.200647,-0.507273,7.62509,46.4787
-0.716823,0.690655,-0.0957158,-16.1027,19.5448,43.8439
-0.826848,0.556687,-0.0801372,-16.7517,18.7935,43.4465
-0.800357,0.590434,-0.104,-16.7104,19.0018,44.5592
-0.88735,0.444074,-0.124131,-17.1803,17.9848,44.1764
