Normals_0,Normals_1,Normals_2,Points_0,Points_1,Points_2
-0.850614,-0.52579,-2.96823e-06,-10.6331,-6.57164,4.02397e-16
-0.867813,-0.496892,0,-10.8522,-6.20326,3.7984e-16
-0.855604,-0.516649,-0.0318717,-10.6965,-6.45514,-0.407527
-0.850616,0.525787,-1.86306e-10,-10.6331,6.57164,-4.02397e-16
-0.867813,0.496892,0,-10.8522,6.20326,-3.7984e-16
-0.855606,0.516646,0.0318726,-10.6965,6.45514,0.407527
-0.835907,0.548519,0.0196849,-10.4446,6.86267,0.251866
-0.835907,0.548519,-0.0196849,-10.4446,6.86267,-0.251866
-0.855606,0.516646,-0.0318726,-10.6965,6.45514,-0.407527
-0.52579,2.96823e-06,-0.850614,-6.57164,-6.5109e-16,-10.6331
-0.516643,-0.0318639,-0.855608,-6.45514,-0.407527,-10.6965
-0.548523,-0.019672,-0.835904,-6.86267,-0.251866,-10.4446
-0.835905,-0.548522,0.0196795,-10.4446,-6.86267,0.251866
-0.855605,-0.516647,0.0318693,-10.6965,-6.45514,0.407527
-0.34691,3.10546e-10,-0.937898,-4.32786,-7.18066e-16,-11.7269
-0.38716,-3.10545e-10,-0.922013,-4.83782,-7.05758e-16,-11.5259
-0.368158,0.0401942,-0.928894,-4.5963,0.505056,-11.6133
-0.327457,0.0403305,-0.944005,-4.09222,0.500049,-11.8006
-0.125569,3.10566e-10,-0.992085,-1.5737,-7.59312e-16,-12.4005
-0.173149,0,-0.984896,-2.16275,-7.53862e-16,-12.3115
-0.150236,0.042388,-0.987741,-1.88591,0.527797,-12.3456
-0.101184,0.0429379,-0.993941,-1.26554,0.537167,-12.4242
-0.251189,0.206029,-0.945757,-3.1485,2.56932,-11.821
-0.296404,0.203726,-0.933081,-3.70996,2.54616,-11.662
-0.27542,0.245775,-0.929375,-3.44877,3.06566,-11.6171
-0.228378,0.249135,-0.941156,-2.85966,3.11179,-11.7639
-0.127377,0.421639,-0.897773,-1.59329,5.27102,-11.2217
-0.177456,0.418152,-0.890875,-2.21774,5.22779,-11.1356
-0.151744,0.459773,-0.874976,-1.89714,5.74651,-10.9375
-0.101624,0.462987,-0.88052,-1.27211,5.78911,-11.0054
-0.463268,0.188322,0.865978,-5.78774,2.36212,10.8246
-0.478482,0.147766,0.865575,-5.9806,1.84905,10.8196
-0.43868,0.154156,0.885323,-5.47826,1.9321,11.0682
